BANK_ID,NAME,DISPLAY_NAME,SHORT_NAME,UPDATE_DATE
348,BoA USA T&E,BoA USA T&E,BoA USA T&E,2019-09-20 09:21:44.100000000
349,BoA USA Purchasing,BoA USA Purchasing,BoA USA P,2019-09-20 09:21:44.100000000
350,HRG Bill Back,HRG Bill Back,HRG BB,2019-09-20 09:21:44.100000000
351,China Construction Bank (Asia) VISA,CCB (Asia) VISA,CCBA VISA,2019-09-20 09:21:44.100000000
352,China Construction Bank (Asia) MasterCard,CCB (Asia) MasterCard,CCBA MC,2019-09-20 09:21:44.100000000
353,China Construction Bank (Asia) UnionPay,CCB (Asia) UnionPay,CCBA UP,2019-09-20 09:21:44.100000000
354,Westpac Visa CTA,Westpac Visa CTA,Westpac CTA,2019-09-20 09:21:44.100000000
355,Natwest Bank,Natwest Bank - Mastercard,Natwest MC,2019-09-20 09:21:44.100000000
356,United Overseas Bank Limited,United Overseas Bank Limited,UOB SG,2019-09-20 09:21:44.100000000
357,Chinatrust Commercial Bank,Chinatrust Commercial Bank,CTBC Bank,2019-09-20 09:21:44.100000000
358,DBS Bank Ltd,DBS Bank Ltd,DBS Bank Ltd,2019-09-20 09:21:44.100000000
359,AMEX Philippines,AMEX Philippines,AMEX PH,2019-09-20 09:21:44.100000000
360,AMEX Banco De Oro,AMEX Banco De Oro,AMEX BDO,2019-09-20 09:21:44.100000000
361,AMEX India,AMEX India,AMEX Id,2019-09-20 09:21:44.100000000
362,AMEX France,AMEX France,AMEX FR,2019-09-20 09:21:44.100000000
363,AMEX Iceland,AMEX Iceland,AMEX ICE,2019-09-20 09:21:44.100000000
364,AMEX Thailand,AMEX Thailand,AMEX Th,2019-09-20 09:21:44.100000000
365,Amex Business Traveller,Amex Business Traveller,AmexBusTrav,2019-09-20 09:21:44.100000000
370,BoA UK T&E,BoA UK T&E,BoA UK T&E,2019-09-20 09:21:44.100000000
371,BoA France T&E,BoA France T&E,BoA FR T&E,2019-09-20 09:21:44.100000000
372,BoA France Purchasing,BoA France Purchasing,BoA FR P,2019-09-20 09:21:44.100000000
373,Standard Bank South Africa T&E,Standard Bank South Africa T&E,Std B ZA T&E,2019-09-20 09:21:44.100000000
374,Standard Bank South Africa Purchasing,Standard Bank South Africa Purchasing,Std B ZA P,2019-09-20 09:21:44.100000000
375,BoA India T&E,BoA India T&E,BoA IND T&E,2019-09-20 09:21:44.100000000
376,BoA India Purchasing,BoA India Purchasing,BoA IND P,2019-09-20 09:21:44.100000000
377,BoA Hong Kong,BoA Hong Kong,BOA HK,2019-09-20 09:21:44.100000000
378,BoA UK Purchasing,BoA UK Purchasing,BoA-UK-P,2019-09-20 09:21:44.100000000
390,Bendigo and Adelaide Bank Limited,Bendigo Bank,BEN,2019-09-20 09:21:44.100000000
391,DBS Bank Lodge,DBS Bank Lodge,DBS Lodge,2019-09-20 09:21:44.100000000
400,Shell Australia,Shell Australia,Shell,2019-09-20 09:21:44.100000000
403,AMEX BTA Australia,AMEX BTA AU,AMEX BTA AU,2019-09-20 09:21:44.100000000
404,AMEX BTA New Zealand,AMEX BTA NZ,AMEX BTA NZ,2019-09-20 09:21:44.100000000
405,AMEX BTA Lodge,AMEX BTA Lodge,AMEX Lodge,2019-09-20 09:21:44.100000000
410,FCM Travel,FCM Travel,FCM Travel,2019-09-20 09:21:44.100000000
411,Air NZ TravelCard,Air NZ TravelCard,Air NZ,2019-09-20 09:21:44.100000000
412,Airplus,Airplus,Airplus,2019-09-20 09:21:44.100000000
420,Corporate Cabs,Corporate Cabs,Corp Cabs,2019-09-20 09:21:44.100000000
421,Mitsubishi Bank,Mitsubishi Bank,Mitsubishi,2019-09-20 09:21:44.100000000
430,TaxiCharge NZ,TaxiCharge NZ,TaxiCharge,2019-09-20 09:21:44.100000000
431,Alert Taxis,Alert Taxis,Alert Taxis,2019-09-20 09:21:44.100000000
440,Mobil New Zealand,Mobil New Zealand,Mobil NZ,2019-09-20 09:21:44.100000000
441,Bank of the West,Bank West,Bank West,2019-09-20 09:21:44.100000000
450,National Travel Account,National Travel Account,NAB Travel,2019-09-20 09:21:44.100000000
451,NAB - Automated Invoice Payments,NAB - Automated Invoice Payments,NAB - AIP,2019-09-20 09:21:44.100000000
460,Barclaycard Lodge,Barclaycard Lodge,BC Lodge,2019-09-20 09:21:44.100000000
461,JPMorgan Chase UK,JPMorgan Chase UK,JPMC UK,2019-09-20 09:21:44.100000000
462,AirPlus International,AirPlus International,AirPlus Intl,2019-09-20 09:21:44.100000000
463,AirPlus Corporate,AirPlus Corporate,AirPlus Corp,2019-09-20 09:21:44.100000000
464,AirPlus AIDA,AirPlus AIDA,AirPlus AIDA,2019-09-20 09:21:44.100000000
465,Standard Chartered Botswana,Standard Chartered Botswana,SCB VISA,2019-09-20 09:21:44.100000000
500,Requisitions,Requisitions,Requisitions,2019-09-20 09:21:44.100000000
510,Cash Expenses,Cash Expenses,Cash,2019-09-20 09:21:44.100000000
520,e-Money,e-Money,e-Money,2019-09-20 09:21:44.100000000
